"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"BARD";117;58;104;52;5;"VALLEE D'AOSTE";41,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"BARD";117;58;104;52;5;"AUT.LIB. DEMOCRATIE";33,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"BARD";117;58;104;52;5;"LEGA NORD";1,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"BIONAZ";191;102;166;92;8;"AZ.SOCIALE MUSSOLINI";1,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"BIONAZ";191;102;166;92;8;"IL POPOLO DELLA LIBERTA'";15,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"BIONAZ";191;102;166;92;8;"VALLEE D'AOSTE";70,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"BIONAZ";191;102;166;92;8;"AUT.LIB. DEMOCRATIE";53,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"BIONAZ";191;102;166;92;8;"LEGA NORD";9,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"BRISSOGNE";764;395;663;342;15;"AZ.SOCIALE MUSSOLINI";8,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"BRISSOGNE";764;395;663;342;15;"IL POPOLO DELLA LIBERTA'";96,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"BRISSOGNE";764;395;663;342;15;"VALLEE D'AOSTE";265,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"BRISSOGNE";764;395;663;342;15;"AUT.LIB. DEMOCRATIE";234,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"BRISSOGNE";764;395;663;342;15;"LEGA NORD";16,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"BRUSSON";693;336;567;270;17;"AZ.SOCIALE MUSSOLINI";6,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"BRUSSON";693;336;567;270;17;"IL POPOLO DELLA LIBERTA'";74,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"BRUSSON";693;336;567;270;17;"VALLEE D'AOSTE";266,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"BRUSSON";693;336;567;270;17;"AUT.LIB. DEMOCRATIE";162,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"BRUSSON";693;336;567;270;17;"LEGA NORD";19,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";621;308;519;264;30;"AZ.SOCIALE MUSSOLINI";7,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";621;308;519;264;30;"IL POPOLO DELLA LIBERTA'";69,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";621;308;519;264;30;"VALLEE D'AOSTE";229,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";621;308;519;264;30;"AUT.LIB. DEMOCRATIE";134,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";621;308;519;264;30;"LEGA NORD";33,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";499;257;378;198;10;"AZ.SOCIALE MUSSOLINI";7,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";539;272;439;226;6;"VALLEE D'AOSTE";193,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";539;272;439;226;6;"AUT.LIB. DEMOCRATIE";172,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";539;272;439;226;6;"LEGA NORD";11,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"CHAMPORCHER";343;175;262;143;7;"AZ.SOCIALE MUSSOLINI";1,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"CHAMPORCHER";343;175;262;143;7;"IL POPOLO DELLA LIBERTA'";25,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"CHAMPORCHER";343;175;262;143;7;"VALLEE D'AOSTE";129,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"CHAMPORCHER";343;175;262;143;7;"AUT.LIB. DEMOCRATIE";83,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"CHAMPORCHER";343;175;262;143;7;"LEGA NORD";5,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"CHARVENSOD";1896;945;1525;774;38;"AZ.SOCIALE MUSSOLINI";24,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"CHARVENSOD";1896;945;1525;774;38;"IL POPOLO DELLA LIBERTA'";256,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"CHARVENSOD";1896;945;1525;774;38;"VALLEE D'AOSTE";553,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"CHARVENSOD";1896;945;1525;774;38;"AUT.LIB. DEMOCRATIE";542,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"CHARVENSOD";1896;945;1525;774;38;"LEGA NORD";42,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"CHATILLON";3853;1881;3144;1547;59;"AZ.SOCIALE MUSSOLINI";46,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"CHATILLON";3853;1881;3144;1547;59;"IL POPOLO DELLA LIBERTA'";626,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"CHATILLON";3853;1881;3144;1547;59;"VALLEE D'AOSTE";1022,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"CHATILLON";3853;1881;3144;1547;59;"AUT.LIB. DEMOCRATIE";1186,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"CHATILLON";3853;1881;3144;1547;59;"LEGA NORD";84,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"COGNE";1196;598;886;454;30;"AZ.SOCIALE MUSSOLINI";10,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"COGNE";1196;598;886;454;30;"IL POPOLO DELLA LIBERTA'";143,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"COGNE";1196;598;886;454;30;"VALLEE D'AOSTE";298,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"COGNE";1196;598;886;454;30;"AUT.LIB. DEMOCRATIE";303,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"COGNE";1196;598;886;454;30;"LEGA NORD";46,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"COURMAYEUR";2415;1224;1850;961;26;"AZ.SOCIALE MUSSOLINI";28,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"COURMAYEUR";2415;1224;1850;961;26;"IL POPOLO DELLA LIBERTA'";559,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"COURMAYEUR";2415;1224;1850;961;26;"VALLEE D'AOSTE";791,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"COURMAYEUR";2415;1224;1850;961;26;"AUT.LIB. DEMOCRATIE";337,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"COURMAYEUR";2415;1224;1850;961;26;"LEGA NORD";66,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"DONNAS";2168;1067;1731;881;35;"AZ.SOCIALE MUSSOLINI";22,00;"N";"BORLUZZI";"GIANCARLO";"M"
