"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTOR_IMASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"LIGURIA";"IMPERIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";190616;89938;"148171";"71507";"115348";15219;"10995"
"ABRUZZO";"L'AQUILA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";269039;130335;"198950";"97898";"151309";19926;"17369"
"LIGURIA";"LA SPEZIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";203432;97591;"168790";"82946";"138520";14069;"10729"
"LAZIO";"LATINA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";376638;184940;"307048";"152532";"235763";34566;"23934"
"PUGLIA";"LECCE";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";637013;304352;"474005";"225706";"345170";49078;"54966"
"TOSCANA";"LIVORNO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";285710;136782;"245194";"120203";"203179";21123;"15371"
"TOSCANA";"LUCCA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";321370;152211;"266701";"129031";"205357";26134;"22829"
"MARCHE";"MACERATA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";244712;118121;"209709";"103528";"152461";23199;"23503"
"LOMBARDIA";"MANTOVA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";307243;145743;"273378";"132020";"214604";28820;"24564"
"TOSCANA";"MASSA-CARRARA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";173007;82701;"139598";"67631";"109884";11720;"10477"
"BASILICATA";"MATERA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";159541;78588;"130133";"64971";"97073";14284;"10396"
"LOMBARDIA";"MILANO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";3251816;1546299;"2692835";"1301564";"2185765";276353;"156460"
"EMILIA-ROMAGNA";"MODENA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";502216;242040;"453990";"220802";"379834";35512;"32007"
"CAMPANIA";"NAPOLI";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";2253177;1088835;"1551103";"789592";"1191359";169168;"141479"
"PIEMONTE";"NOVARA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";415975;197731;"340651";"165942";"264769";34474;"27745"
"VENETO";"PADOVA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";668005;321185;"594914";"289200";"478473";60982;"39463"
"EMILIA-ROMAGNA";"PARMA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";341963;163441;"295495";"143622";"231425";33754;"22181"
"LOMBARDIA";"PAVIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";420591;198413;"367947";"177603";"269359";43442;"40532"
"UMBRIA";"PERUGIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";491017;236783;"426493";"210528";"328535";46182;"35061"
"MARCHE";"PESARO E URBINO";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";286422;139948;"247451";"122565";"196593";22697;"19729"
"ABRUZZO";"PESCARA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";252842;123068;"191718";"94569";"146557";20122;"15720"
"EMILIA-ROMAGNA";"PIACENZA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";235382;113178;"210531";"102350";"157589";23955;"21041"
"TOSCANA";"PISA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";317046;150945;"280203";"137078";"220698";26970;"24686"
"TOSCANA";"PISTOIA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";222052;105790;"190638";"92804";"147601";18005;"17845"
"BASILICATA";"POTENZA";"1";"REFERENDUM CONSULTIVO. Conferimento del mandato costituente al Parlamento Europeo";334517;164502;"251876";"125798";"176059";31382;"29059"
