"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"PUGLIA";"BARI";"5";"Incarichi extragiudiziari dei magistrati";1314340;639145;"359928";"190581";"33400";"257022";58997
"PUGLIA";"BARI";"4";"Ordinamento giudiziario";1314340;639145;"359767";"190440";"36683";"237847";73836
"PUGLIA";"BARI";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";1314340;639145;"361984";"191777";"27198";"269445";54546
"PUGLIA";"BARI";"1";"Rimborso spese per consultazioni elettorali e referendarie";1314340;639145;"360786";"191109";"26415";"254391";69901
"PUGLIA";"BARI";"3";"Elezione del Consiglio Superiore della Magistratura";1314340;639145;"359311";"190256";"42232";"234965";69273
"VENETO";"BELLUNO";"1";"Rimborso spese per consultazioni elettorali e referendarie";197381;94203;"54871";"27657";"3181";"40892";9645
"VENETO";"BELLUNO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";197381;94203;"55158";"27835";"3900";"42216";7720
"VENETO";"BELLUNO";"3";"Elezione del Consiglio Superiore della Magistratura";197381;94203;"53950";"27180";"6281";"36811";9217
"VENETO";"BELLUNO";"4";"Ordinamento giudiziario";197381;94203;"54156";"27275";"5314";"38244";9201
"VENETO";"BELLUNO";"5";"Incarichi extragiudiziari dei magistrati";197381;94203;"54308";"27366";"4502";"41042";7506
"VENETO";"BELLUNO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";197381;94203;"54810";"27607";"3736";"35178";14724
"VENETO";"BELLUNO";"6";"Licenziamenti";197381;94203;"55250";"27843";"2582";"21128";30654
"CAMPANIA";"BENEVENTO";"4";"Ordinamento giudiziario";266181;129200;"62541";"32990";"8672";"41149";10131
"CAMPANIA";"BENEVENTO";"6";"Licenziamenti";266181;129200;"62311";"33171";"5918";"24176";30012
"CAMPANIA";"BENEVENTO";"5";"Incarichi extragiudiziari dei magistrati";266181;129200;"62654";"33081";"7932";"43374";8553
"CAMPANIA";"BENEVENTO";"3";"Elezione del Consiglio Superiore della Magistratura";266181;129200;"62453";"32955";"9374";"40520";9841
"CAMPANIA";"BENEVENTO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";266181;129200;"62887";"33152";"7011";"45166";8121
"CAMPANIA";"BENEVENTO";"1";"Rimborso spese per consultazioni elettorali e referendarie";266181;129200;"62658";"33094";"6684";"43219";10162
"CAMPANIA";"BENEVENTO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";266181;129200;"62647";"33076";"7663";"39325";12928
"LOMBARDIA";"BERGAMO";"4";"Ordinamento giudiziario";797388;386779;"256793";"125991";"29860";"147594";71070
"LOMBARDIA";"BERGAMO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";797388;386779;"260257";"127992";"19528";"126613";107678
