"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";95,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"AUTONOMIE LIBERTE' DEMOCRATIE";68,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"NATION VAL D'OUTA";1,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"FARE PER FERMARE IL DECLINO";12,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"VALLEE D'AOSTE";217,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"UNIONE DI CENTRO";11,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"CASAPOUND ITALIA";1,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"LEGA NORD";32,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"UNION VALDOTAINE PROGRESSISTE";396,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"FRATELLI D'ITALIA";34,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";222,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"AUTONOMIE LIBERTE' DEMOCRATIE";204,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"NATION VAL D'OUTA";3,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"FARE PER FERMARE IL DECLINO";12,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"VALLEE D'AOSTE";242,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"UNIONE DI CENTRO";6,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"CASAPOUND ITALIA";2,00;"N";"LADU";"ANDREA";"M"
