"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"ALTERNATIVA SOCIALE MUSSOLINI";8,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"UNIONE DI CENTRO";14,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"FI-AN";61,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"PARTITO PENSIONATI";6,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"LEGA NORD V.D'AOSTE";19,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"AUT.LIB. DEMOCRATIE";160,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"FIAMMA TRICOLORE";4,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"VALLEE D'AOSTE";149,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"ALTERNATIVA SOCIALE MUSSOLINI";5,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"UNIONE DI CENTRO";6,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"FI-AN";48,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"PARTITO PENSIONATI";6,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"LEGA NORD V.D'AOSTE";10,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-VICTOR";481;243;390;202;14;"AUT.LIB. DEMOCRATIE";134,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"FIAMMA TRICOLORE";2,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"VALLEE D'AOSTE";136,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"ALTERNATIVA SOCIALE MUSSOLINI";9,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"UNIONE DI CENTRO";8,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"FI-AN";51,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"PARTITO PENSIONATI";7,00;"";"BERTONE";"Marco";"M"
